"","dim1","dim2","dim3","dim4","dim5","dim6","dim7","dim8","dim9","dim10","dim11","dim12","dim13","dim14","dim15","dim16","dim17","dim18","dim19","dim20","dim21","dim22","dim23","dim24","dim25","dim26","dim27","dim28","dim29","dim30","dim31","dim32","dim33","dim34","dim35","dim36","dim37","dim38","dim39","dim40","dim41","dim42","dim43","dim44","dim45","dim46","dim47","dim48","dim49","dim50"
"b.cells1147",0.500024879096605,6.70015675899498,-8.87151079016647,-0.997536421772201,-0.0603143673160134,0.206535850120233,1.58271075041209,-0.0429601124980502,-1.2589278774828,-2.31953828478321,-0.532980035966483,0.302723774346394,-1.08068883491339,0.173105647127321,1.49349855698679,0.303698419737739,-1.52354427360054,0.495291032698496,0.76602865581686,2.49511960972479,1.49888639949715,0.186080501984371,0.747043309421855,1.03298053503168,1.44102117384774,1.13106775140604,0.585182027875329,0.746029858083734,2.356199266272,-0.522528208999759,0.458742776868434,0.597238995006238,1.21319327203926,1.55675794102933,-1.11312020173817,0.874110227523423,0.505157554790989,-0.977714777114364,2.15119613091635,0.562459982490564,1.56768185738881,1.59670374646197,-0.84326274627073,-0.465252082911117,0.583330532870146,0.540922835000947,-0.453177355718276,0.659462949096461,-0.13764311004031,-0.709656470880997
"b.cells6276",2.71987458178436,7.99766751377518,-7.12901380842496,0.135704303484231,-2.63752680478144,-2.35628657383353,1.11017639291717,0.349440894041095,-1.71247773442283,1.82394918200585,0.0702877997154474,-0.104442444028791,0.560088269907961,-0.498116017891106,-0.336780642688003,-1.08337422312463,-1.72916941184975,-0.921793191565363,-0.261851932863429,-1.61491402215176,-0.278693870257708,-0.660381044314557,1.30192414970868,0.087364578576896,2.82813926595547,-2.136612521037,0.877648598989476,-1.0412023514191,0.633914280632282,-0.55787608243693,-1.55979068262056,1.51516114265631,-2.24025029049378,0.0932527858811693,0.238470136397267,1.0222542727445,-0.596375315715715,-1.42752315851344,-1.80427065310091,-0.962183960225744,0.552921796380572,-0.90527049358142,-0.565956048400967,0.277321177597023,0.716926346151816,-0.921886115137279,0.00880554390487953,0.334491749456682,-1.65614819086762,0.260752680452079
"b.cells6144",-3.58696567950371,1.14171243681876,-9.48418743103229,0.983075645617436,0.399364522227241,0.46460507691356,0.374394800317104,0.56896108292875,1.38917967042193,-3.53987347142803,0.450217425517999,1.11560696909949,-2.43960777906303,-1.27026772984655,-1.13148061933887,-0.0404712914210478,1.9502532029732,-3.39756277353858,-0.989369854928056,-0.816743095136437,-1.38646630459512,-1.53314276148924,-0.601047694100856,0.96951677053187,-2.23701423405083,-3.77975216380089,-0.185148517515734,-1.54872286750288,-2.32184785824332,-3.56505342263396,1.6912329334662,3.07910501972571,0.299002187688577,1.99378354362707,2.83822360943658,1.7946949239227,1.11625823398561,-1.60634682243861,2.14073592319509,2.77629226048204,0.7528346802693,2.46566943608499,-3.03339286595929,-2.45900667488766,1.15957644314173,-2.93301976154875,0.276825242104633,0.0812949827223517,3.27102189868126,-0.228400358677499
"b.cells6285",3.45613205400893,5.73246162219432,-8.10899559367029,-3.72683274634136,3.79854660824481,-2.56603041860567,0.625515138265226,0.626011894008785,3.92543630969581,-1.3897026155777,0.0174085690946815,-3.19907548228396,5.06815630671749,-3.16523218138243,1.17512104008689,1.47639069406911,-1.66744743047084,-0.161757276901086,0.401965981218573,-0.653900171997212,-0.330940621494048,2.93939871274391,1.0216905894872,-0.540099206152152,2.30750140864021,-1.39518441721474,2.87596054461864,-1.60959691595721,-1.32295215251437,-0.668764345670201,-1.16837195584289,-0.17987583502307,-0.0706888340674231,-0.47724278154144,-2.5529093425787,1.99495565679985,-0.949958259043198,-0.999915995728169,0.171592892958183,1.38089104937987,1.06958944751186,-0.615863177578493,-0.533176460929488,2.91960724548614,0.484825339203604,1.41225083463803,-1.67408006626826,2.47928800520244,0.515683059026673,-1.06688338715154
"b.cells8679",0.421667124812958,6.78519158842796,-6.9675052459864,-0.70345547610913,-0.635490136431083,-1.09291345212651,2.92815523147896,1.67487842059366,-1.36142455411486,2.1045352705392,-0.494817386782041,-1.14064982007623,1.97276381990203,-0.59016678480434,0.229445727506384,-1.56983342798104,-0.85909731404551,1.36754281116221,0.113950338144383,0.267217068194942,0.196135247303142,-1.46277552520645,0.367488219453714,1.67146853190271,-1.14106496596442,-0.0649700619481561,0.591508201786646,0.794779155713394,-0.492061980796577,-1.60170549231615,3.00550525419848,0.169093541591886,2.90433848295185,1.05167762825827,-0.152940260867633,-0.787340571803522,-0.0678898609688897,-3.23512787430905,0.872054375025889,1.01007021769099,0.595699727227682,2.32122527166878,-0.599236328625234,-1.16262188309448,-0.511809137095899,-1.74853270856023,2.30599119933729,1.38738032443671,-0.514912753567742,0.664436306864453
"b.cells6455",-1.2706197239904,3.78153745378662,-7.38315864554903,-0.847651493181778,2.05890030555496,0.0235798340900264,-0.4109702632878,-2.03162235359231,-1.13941374314583,-0.800472273693619,-1.85049970551492,-1.14574421962803,-0.725411730408738,1.72391349596365,1.27932216089658,2.51925227065158,-0.707077543840088,-1.3588128768235,0.389876632401486,0.375674545065611,0.13583620340915,-0.534590971848582,-0.358467712237724,-1.69828431018795,0.426369108250923,0.211733555096575,-0.581756084723755,-0.699310729749098,-0.806316959771807,0.526010510782138,0.592315029053875,-1.1910040219348,0.633941023155424,-1.80854839236145,-0.549946340227119,3.53279092761054,-1.79794874925535,3.75159261146836,-1.20084534340027,0.758352892312938,0.683356155715149,1.81798504396955,-1.38998724122598,-0.284400462945412,-2.07158004464771,1.22004802126255,1.29012668607578,-1.77398490180854,0.158890354670102,-1.98500040074135
"b.cells96",-3.18720946453729,1.53609359647027,-8.98591342558628,-1.04121247385178,-1.87224210989931,1.36996287780544,1.14990711093626,1.97059380083519,-0.598502231905222,-1.3133278450505,0.412188171524887,0.343188871804681,0.0920925231926528,-3.67493436411854,1.34516721486329,1.53531788121679,1.04067380643004,-0.106273540613262,-1.58416707437719,-0.262751953205949,0.837756950207283,-0.42729466500292,1.24129762628622,1.50679090731043,1.58176723593435,0.607254666223347,3.1798768429546,0.263034310438846,-4.97305367205609,-1.14528956616367,2.05765380542622,-0.263166195353894,1.55240265552907,3.87424749630671,-0.858365954027632,-1.98911252229221,-2.86848125085059,-2.10425375867189,1.85140094715872,-0.0955311087667237,0.275553192783617,0.969004441964614,0.199950025868147,2.02183061162006,1.46781661139424,-0.640960366085712,0.847338903033057,2.46702426593951,0.264861183696512,3.73453036588174
"b.cells2344",0.783851561293934,5.36615032318286,-7.55678326937124,-1.3821542894017,-3.11773538573778,2.19151138792478,1.4341753775322,3.60671821747598,1.00065602538293,1.19123421664831,0.199629896932718,-0.962211173011933,0.490121169104285,-0.627724654272091,-0.783688813059125,-2.32809721210851,0.439441666606293,0.169767261512224,0.715172383880565,-3.94635326758571,-0.953932563052903,-0.792329118356129,0.812115239726668,0.965236213921072,1.95428677280071,1.02662872626199,0.318511013941876,-0.936323367777253,-2.21443992668725,2.24510766734648,-0.066531027323633,-0.558514075573545,-2.89668343805429,-0.0576751653440451,-0.732750169514777,-0.322764908956794,-1.95430446263852,-1.59243770135342,-1.62559421346442,-1.09724789199681,-0.216591319004387,0.806837800291563,0.892298325492232,-2.33065882683873,-0.805687809924632,1.41264859687717,-0.685429471306507,0.185876290644518,-0.442202408731731,0.0180151917001639
"b.cells6713",1.69910671041938,6.41210889236966,-7.48504832602459,-0.325042657130688,-0.19493313961979,0.131835449434974,1.13655647398281,1.00712980447059,1.02043829228474,-1.11448102143935,-2.48358047335685,0.361383145661539,0.59414652007745,-1.48430995688267,0.400413935624512,1.21092838884464,-0.578998002565208,1.03144164860456,0.839907365099001,-0.96882685583396,0.253929146935062,-0.8203342683845,-1.61929682614158,-0.262868979365726,-0.515873186476629,0.333241557422089,0.685218224379468,1.35704508239297,1.46959737041726,0.464825146935387,0.00174837484703875,0.553044800479239,0.215852189054228,0.208961078733148,0.519120999097096,0.794857114666965,0.640136522186588,2.27808660895516,-2.9154998764442,0.0768164927644688,-0.818824044346841,-0.65038747926659,2.01135179486999,-0.268617359714685,-0.00484054397776911,-0.495609794137489,3.18172520666075,-0.86621306786128,-0.22475524080821,-2.22279650519841
"b.cells5182",0.808554012856734,3.70986460419196,-7.47824945312195,-0.623348037572305,-2.1157386772994,-0.202856068382111,0.533640712478919,-1.39945120576974,-1.62100539242148,-0.668451541085897,-2.39047824193429,0.641972437778378,-0.521003280577565,-0.0712807914934534,-2.18509981736988,1.15009083133187,-0.39917212663064,1.06816051951624,0.197929471543958,0.731531624838747,-0.277813608539036,-0.874514784717635,0.782913823558912,1.01742410356019,-3.14297545475679,0.0577315824600647,-1.92903096663616,-0.620946029071691,-0.00234071070068834,0.935971062438572,0.192500871062581,2.46371993685606,2.0196847963566,-0.48674266020203,-0.424666763859106,-0.00559950865225881,0.741594454202797,3.29410842012521,-0.627203063258902,1.36057188235261,-0.492480177792752,1.52111337611371,0.763752038347716,2.96823137340847,-0.192720364435337,-1.24143861332736,0.773927038309326,-0.816582951628575,1.69389094372745,-0.200983879360409
"b.cells6988",-1.37448417202617,3.51203258792107,-8.32902859205166,-0.189359258203028,0.384145461059543,-2.59910521083598,1.95269206001169,-1.72080979514308,-1.22330748666372,1.72402923194388,0.464543973236194,0.754373897352298,-0.660321479043634,-0.00509886954377836,3.07925534956262,1.41291835411584,-0.810716118034544,-1.85350586491774,0.107813767543131,0.465082181933875,-0.314505992013279,0.556580837798324,1.96863769548623,1.02513585078446,-0.000303834536655524,0.618169164233967,-1.31888825183568,-0.813935227095408,-0.0918382359644882,-1.55571329195033,2.28682212093945,-0.22079727928333,-1.0582848304094,-2.80493060884957,-1.72975522722659,1.49305936784572,0.0609270332399077,0.757892115345131,0.957969022115557,-1.48488407220867,0.756017819547721,-2.76804519890545,-1.4358826922959,-1.36061784489847,1.0645516897755,-1.31978471755678,0.15202962435875,-0.873327370434466,-0.112279936213479,-0.170866959498538
"b.cells5491",2.64741311002737,7.6588443542776,-5.87887707151761,-3.10396140512353,-0.520639566670383,-0.35141369969383,-4.54884498653074,-2.85159743858975,0.0455496084648813,1.77343816909859,1.76103781023321,-0.340612783104786,-1.20054711006553,0.293224458776251,0.40180004661419,0.442632508372184,-0.743858858771352,-0.273611433342573,0.437744526656727,-2.81255737961112,-1.0995101570883,0.164350759661204,1.26258697502215,0.279876912149634,0.818849432592955,0.156060064550594,0.984669316926692,0.770161488039377,0.409118740302344,0.774297622430211,-0.302330213296923,-0.311407602902977,1.44993113900091,-1.75812712288302,2.66135767196711,-1.43161809319726,0.261760226344055,-0.610617987155484,0.139777324844225,-1.08132018615262,-2.77753486278581,1.04234281746917,2.58270096767398,-1.98973748980592,-2.40450260500846,-0.709103268522201,-2.77073244621514,-1.04473950645626,1.34186198946516,0.586232608403072
"b.cells2848",1.28677464041624,5.43253664359635,-8.38229562640206,2.00559987230161,-1.76201656507213,0.829075119805747,0.675125727267113,-0.607947434354351,-2.39520449113713,2.24068387718846,0.0849848726843452,0.676319001621667,2.18401762045899,-0.14609004565599,-0.470801332988627,-0.979451469189091,0.109776833679335,0.891948944330907,-0.781077503246153,-0.351531140661113,-1.05537392176169,-0.519597432127433,1.46637944371871,2.60899569276275,-0.218553911539948,-0.421908196799592,0.543838121590158,-1.46371968504902,2.22057802075064,-1.60491789469708,-0.092197247961577,3.16010877613347,1.40416158271361,1.79523445181963,1.12414734986689,1.05870587537858,-0.220427315492199,1.5363103051156,0.469594054550624,0.182799272427256,1.34471063686845,-0.0433530906630782,0.832197787090535,-0.393160013248626,1.16041251002083,0.473039275835745,0.423127464678177,0.665763704875532,1.73768978527841,-1.05323850093917
"b.cells9301",2.42221459745127,9.82128081297323,-6.56594039122959,-0.934425234700635,-1.19597334003886,-0.968527450190094,-0.509235832378947,0.461378759682559,-0.569969798196323,1.33416443045509,-1.20031670526507,0.501115914969024,0.567117193911599,-0.0704717139742891,-0.403046180341751,-0.486043306340318,0.201961157083473,-0.0437508520600474,-0.210437490978913,-0.195675292139478,1.71919930451106,1.15247148813832,1.01660618919527,0.0288023375970001,-0.640627628058459,-0.749562620285719,0.717464676700816,0.827515855669413,0.107113085896438,0.4313499529481,-0.467214527786018,0.823718933204191,0.480300368829183,-0.71692846319411,2.22084139776782,-2.0653597995777,-1.39612831181756,1.10998323404738,-0.791439567938764,1.3459421459011,-2.89974783148289,-0.436871400235492,0.347439419221094,-0.233912320423727,2.02071655083807,-0.347326947872962,1.45702501961398,-0.534355240639442,1.20680671063958,-0.847767153113337
"b.cells2944",-7.85598171067785,-6.11324749872861,-12.7873856849694,0.387086239744784,1.93958143892373,2.85455075567805,2.36181760250998,2.28947366369306,2.80084953274827,-6.35353783594081,2.76291051786333,-1.64409973214822,2.16519075167017,1.71254753883043,0.561959876686202,-2.03725749335943,0.566075548156728,-0.764808159516571,3.45372042504679,-3.07142910546956,-1.89814235804986,-4.42031841503061,0.42550304357085,1.25301892140429,-1.60442581863787,-3.36370408252187,1.25312969900193,0.792485828613385,-1.62407269314152,-0.982216653631304,2.44908800262506,-1.26089268290445,-5.11750195000739,-2.82558013617632,-3.41579045296466,-1.46736254965207,-2.38807906866524,-4.27607323468113,3.35889229530904,-5.38245063397849,3.22121534692251,-3.40667274507547,0.741117536567029,-2.24143963744734,2.967721997745,1.43416029680909,-1.03020984939663,2.40545756559462,2.91306394968377,-2.32320722721628
